Producto, Unidades ,Factura
34568,1,568084
45581,1,514359
17272,1,618973
35622,1,749413
19024,1,802232
34115,1,711158
17223,1,832210
17796,1,466262
27875,1,177403
18535,1,812950
37537,1,784960
36102,1,395053
35172,1,725325
34484,1,373275
17754,1,810179
24335,2,579905
35036,1,562895
24116,1,604407
23291,1,468038
47240,1,183560
35883,1,466987
41643,1,770029
24474,1,667711
39599,1,706669
48396,1,678706
37188,1,775481
35622,3,585126
4499,1,623549
37118,1,828254
34055,1,784403
48227,1,707280
13502,1,742587
17183,1,675333
37727,1,818148
17192,1,780841
18164,1,335175
47297,1,693912
34433,1,677267
19956,1,539606
1598,1,711954
23558,1,603069
23675,1,642191
34095,1,17039
37583,1,798230
17128,1,671737
35303,1,722756
24145,1,659534
18535,1,566032
17165,1,736881
34568,1,467857
34776,1,528887
17529,1,617905
23928,1,318168
20679,1,710622
18367,1,335667
37188,1,829664
1550,1,570160
45865,1,544069
10492,1,29302
40874,1,745142
40455,1,924280
37051,1,807472
34371,1,328297
24473,1,812813
16972,1,925797
30014,1,658387
23292,1,245161
199,1,743542
16972,1,808089
16955,1,733505
46817,1,670381
34778,1,646060
48396,1,771562
19306,2,632329
40492,1,771459
37949,1,138813
35501,1,464771
17705,1,391155
47949,1,748789
19907,1,721908
34719,1,644439
39597,1,570502
37266,1,710220
47949,1,796466
23924,1,646116
9108,1,679231
34438,1,496213
48218,1,779759
51188,1,117280
41795,1,925818
34568,2,665480
37645,2,802880
34308,1,176635
1812,1,328112
27940,1,661065
47240,1,712226
27552,4,391144
17422,1,588760
48228,1,581643
17527,1,335744
24467,1,593748
16940,1,731118
48229,1,772797
34248,1,732790
35401,3,704161
51403,1,794978
27809,1,763618
849,1,495345
24333,1,627355
23292,1,670589
39628,1,732183
38993,1,810094
2556,1,642038
14124,1,924317
15921,1,176527
34308,1,613251
47240,1,732956
34386,1,585956
20458,1,712739
17272,1,690001
20749,1,721990
17439,1,685839
16996,1,697827
43484,1,258371
20396,1,317956
35089,1,674981
5918,1,618821
34335,2,708475
17385,1,620883
37728,1,392656
34568,1,513064
23946,1,391541
39530,1,118227
24591,2,99235
38993,2,712590
39599,1,709064
33543,1,668935
34382,1,701090
47219,1,388215
23683,1,927339
35032,2,465121
40138,1,742404
34679,1,589865
41914,1,798774
34589,1,642677
37583,1,30087
39533,1,756652
46074,1,735484
40235,1,700099
23343,1,599877
41372,1,390736
19497,2,98142
34063,1,707497
37177,1,629075
13426,1,746847
17145,1,818914
17422,1,725294
34369,1,634600
44563,1,619730
23676,1,819183
27584,1,183747
34112,1,732513
35032,1,819626
20396,1,723251
34646,1,809192
46848,1,735620
38767,2,634135
47304,1,174911
38028,1,724211
37527,1,773473
36045,3,583125
17155,1,17039
35693,1,99004
34274,1,335172
48178,1,49701
39960,1,682776
20174,1,539927
17912,1,807908
34055,1,467512
20641,1,363009
35401,2,647484
17233,1,243494
35764,2,831443
1899,1,81747
41396,1,465550
24035,1,786129
40690,1,828456
17387,1,667122
46817,1,734071
30213,1,392325
48309,1,510107
39532,1,390989
16972,1,698892
